p_SubscriptionId,p_SubscriberNo,p_BAN
606125633,3702964873,603299303
606125636,3702964876,603299306
606125637,3702964877,603299307
606125638,3702964878,603299308
606125639,3702964879,603299309
606125642,3702964882,603299312
606125640,3702964880,603299310
606125641,3702964881,603299311
606125643,3702964883,603299313
606125644,3702964884,603299314
606125647,3702964887,603299317
606125646,3702964886,603299316
606125648,3702964888,603299318
606125650,3702964890,603299320
606125649,3702964889,603299319
606125651,3702964891,603299321
606125652,3702964892,603299322
606125653,3702964893,603299323
606125655,3702964895,603299325
606125654,3702964894,603299324
606125657,3702964897,603299327
606125659,3702964899,603299329
606125656,3702964896,603299326
606125658,3702964898,603299328
606125661,3702964901,603299331
606125660,3702964900,603299330
606125662,3702964902,603299332
606125664,3702964904,603299334
606125665,3702964905,603299335
606125698,3702964938,603299368
606125663,3702964903,603299333
606125666,3702964906,603299336
606125667,3702964907,603299337
606125668,3702964908,603299338
606125670,3702964910,603299340
606125669,3702964909,603299339
606125673,3702964913,603299343
606125672,3702964912,603299342
606125676,3702964916,603299346
606125675,3702964915,603299345
606125671,3702964911,603299341
606125674,3702964914,603299344
606125678,3702964918,603299348
606125677,3702964917,603299347
606125681,3702964921,603299351
606125683,3702964923,603299353
606125679,3702964919,603299349
606125682,3702964922,603299352
606125680,3702964920,603299350
606125685,3702964925,603299355
606125686,3702964926,603299356
606125684,3702964924,603299354
606125689,3702964929,603299359
606125688,3702964928,603299358
606125687,3702964927,603299357
606125690,3702964930,603299360
606125691,3702964931,603299361
606125693,3702964933,603299363
606125692,3702964932,603299362
606125695,3702964936,603299366
606125696,3702964935,603299365
606125694,3702964934,603299364
606125697,3702964937,603299367
606125700,3702964940,603299370
606125699,3702964939,603299369
606125701,3702964941,603299371
606125702,3702964942,603299372
606125705,3702964945,603299375
606125704,3702964944,603299374
606125707,3702964947,603299377
606125703,3702964943,603299373
606125706,3702964946,603299376
606125708,3702964948,603299378
606125710,3702964950,603299380
606125711,3702964951,603299381
606125709,3702964949,603299379
606125712,3702964952,603299382
606125716,3702964956,603299386
606125713,3702964953,603299383
606125714,3702964954,603299384
606125715,3702964955,603299385
606125718,3702964958,603299388
606125717,3702964957,603299387
606125719,3702964959,603299389
606125721,3702964961,603299391
606125723,3702964963,603299393
606125720,3702964960,603299390
606125722,3702964962,603299392
606125724,3702964964,603299394
606125725,3702964965,603299395
606125726,3702964966,603299396
606125729,3702964969,603299399
606125728,3702964968,603299398
606125727,3702964967,603299397
606125730,3702964970,603299400
606125731,3702964971,603299401
606125732,3702964972,603299402
606125733,3702964973,603299403
606125734,3702964974,603299404
606125735,3702964975,603299405
606125736,3702964976,603299406
606125737,3702964977,603299407
606125738,3702964978,603299408
606125739,3702964979,603299409
606125740,3702964980,603299410
606125742,3702964982,603299412
606125741,3702964981,603299411
606125743,3702964983,603299413
606125746,3702964986,603299416
606125745,3702964985,603299415
606125744,3702964984,603299414
606125747,3702964987,603299417
606125748,3702964988,603299418
606125750,3702964990,603299420
606125751,3702964991,603299421
606125754,3702964994,603299424
606125755,3702964995,603299425
606125753,3702964993,603299423
606125749,3702964989,603299419
606125752,3702964992,603299422
606125756,3702964996,603299426
606125757,3702964997,603299427
606125758,3702964998,603299428
606125762,3702965002,603299432
606125760,3702965000,603299430
606125761,3702965001,603299431
606125759,3702964999,603299429
606125763,3702965003,603299433
606125764,3702965004,603299434
606125765,3702965005,603299435
606125766,3702965006,603299436
606125767,3702965007,603299437
606125769,3702965009,603299439
606125768,3702965008,603299438
606125770,3702965010,603299440
606125771,3702965011,603299441
606125772,3702965012,603299442
606125773,3702965013,603299443
606125776,3702965016,603299446
606125775,3702965015,603299445
606125777,3702965017,603299447
606125778,3702965018,603299448
606125779,3702965019,603299449
606125782,3702965022,603299452
606125780,3702965020,603299450
606125781,3702965021,603299451
606125784,3702965024,603299454
606125783,3702965023,603299453
606125785,3702965025,603299455
606125786,3702965026,603299456
606125787,3702965027,603299457
606125794,3702965034,603299464
606125793,3702965033,603299463
606125788,3702965028,603299458
606125790,3702965030,603299460
606125789,3702965029,603299459
606125791,3702965031,603299461
606125792,3702965032,603299462
606125795,3702965035,603299465
606125796,3702965036,603299466
606125797,3702965037,603299467
606125801,3702965041,603299471
606125800,3702965040,603299470
606125799,3702965039,603299469
606125798,3702965038,603299468
606125803,3702965043,603299473
606125802,3702965042,603299472
606125804,3702965044,603299474
606125806,3702965046,603299476
606125805,3702965045,603299475
606125807,3702965047,603299477
606125808,3702965048,603299478
606125809,3702965049,603299479
606125812,3702965052,603299482
606125810,3702965050,603299480
606125811,3702965051,603299481
606125814,3702965054,603299484
606125813,3702965053,603299483
606125815,3702965055,603299485
606125817,3702965057,603299487
606125816,3702965056,603299486
606125820,3702965060,603299490
606125819,3702965059,603299489
606125818,3702965058,603299488
606125822,3702965062,603299492
606125821,3702965061,603299491
606125823,3702965063,603299493
606125824,3702965064,603299494
606125825,3702965065,603299495
606125828,3702965068,603299498
606125827,3702965067,603299497
606125826,3702965066,603299496
606125830,3702965070,603299500
606125829,3702965069,603299499
606125831,3702965071,603299501
606125832,3702965072,603299502
606125834,3702965074,603299504
606125833,3702965073,603299503
606125835,3702965075,603299505
606125837,3702965077,603299507
606125838,3702965078,603299508
606125836,3702965076,603299506
606125839,3702965079,603299509
606125841,3702965081,603299511
606125840,3702965080,603299510
606125842,3702965082,603299512
606125844,3702965084,603299514
606125843,3702965083,603299513
606125846,3702965086,603299516
606125845,3702965085,603299515
606125847,3702965087,603299517
606125849,3702965089,603299519
606125848,3702965088,603299518
606125850,3702965090,603299520
606125851,3702965091,603299521
606125885,3702965125,603299555
606125852,3702965092,603299522
606125855,3702965095,603299525
606125853,3702965093,603299523
606125854,3702965094,603299524
606125856,3702965096,603299526
606125857,3702965097,603299527
606125858,3702965098,603299528
606125860,3702965100,603299530
606125859,3702965099,603299529
606125861,3702965101,603299531
606125862,3702965102,603299532
606125863,3702965103,603299533
606125865,3702965105,603299535
606125864,3702965104,603299534
606125866,3702965106,603299536
606125868,3702965108,603299538
606125869,3702965109,603299539
606125870,3702965110,603299540
606125867,3702965107,603299537
606125872,3702965112,603299542
606125871,3702965111,603299541
606125873,3702965113,603299543
606125875,3702965115,603299545
606125876,3702965116,603299546
606125877,3702965117,603299547
606125874,3702965114,603299544
606125878,3702965118,603299548
606125879,3702965119,603299549
606125880,3702965120,603299550
606125883,3702965123,603299553
606125881,3702965121,603299551
606125884,3702965124,603299554
606125882,3702965122,603299552
606125886,3702965126,603299556
606125887,3702965127,603299557
606125889,3702965129,603299559
606125888,3702965128,603299558
606125890,3702965130,603299560
606125891,3702965131,603299561
606125892,3702965132,603299562
606125894,3702965134,603299564
606125893,3702965133,603299563
606125895,3702965135,603299565
606125896,3702965136,603299566
606125897,3702965137,603299567
606125898,3702965138,603299568
606125899,3702965139,603299569
606125900,3702965140,603299570
606125901,3702965141,603299571
606125902,3702965142,603299572
606125903,3702965143,603299573
606125905,3702965145,603299575
606125910,3702965150,603299580
606125906,3702965146,603299576
606125904,3702965144,603299574
606125908,3702965148,603299578
606125907,3702965147,603299577
606125909,3702965149,603299579
606125911,3702965151,603299581
606125912,3702965152,603299582
606125913,3702965153,603299583
606125915,3702965155,603299585
606125917,3702965157,603299587
606125914,3702965154,603299584
606125916,3702965156,603299586
606125919,3702965159,603299589
606125918,3702965158,603299588
606125920,3702965160,603299590
606125922,3702965162,603299592
606125921,3702965161,603299591
606125924,3702965164,603299594
606125923,3702965163,603299593
606125925,3702965165,603299595
606125928,3702965168,603299598
606125926,3702965166,603299596
606125927,3702965167,603299597
606125930,3702965170,603299600
606125931,3702965171,603299601
606125929,3702965169,603299599
606125932,3702965172,603299602
606125933,3702965173,603299603
606125934,3702965174,603299604
606125936,3702965176,603299606
606125935,3702965175,603299605
606125937,3702965177,603299607
606125938,3702965178,603299608
606125939,3702965179,603299609
606125940,3702965180,603299610
606125941,3702965181,603299611
606125942,3702965182,603299612
606125944,3702965184,603299614
606125946,3702965186,603299616
606125943,3702965183,603299613
606125945,3702965185,603299615
606125948,3702965188,603299618
606125947,3702965187,603299617
606125949,3702965189,603299619
606125951,3702965191,603299621
606125950,3702965190,603299620
606125952,3702965192,603299622
606125954,3702965194,603299624
606125953,3702965193,603299623
606125955,3702965195,603299625
606125956,3702965196,603299626
606125958,3702965198,603299628
606125959,3702965199,603299629
606125957,3702965197,603299627
606125960,3702965200,603299630
606125962,3702965202,603299632
606125963,3702965203,603299633
606125961,3702965201,603299631
606125964,3702965204,603299634
606125967,3702965207,603299637
606125966,3702965206,603299636
606125965,3702965205,603299635
606125968,3702965208,603299638
606125970,3702965210,603299640
606125969,3702965209,603299639
606125971,3702965211,603299641
606125972,3702965212,603299642
606125973,3702965213,603299643
606125975,3702965215,603299645
606125976,3702965216,603299646
606125977,3702965217,603299647
606125974,3702965214,603299644
606125978,3702965218,603299648
606125979,3702965219,603299649
606125980,3702965220,603299650
606125984,3702965224,603299654
606125985,3702965225,603299655
606125982,3702965222,603299652
606125988,3702965228,603299658
606125986,3702965226,603299656
606125981,3702965221,603299651
606125983,3702965223,603299653
606125987,3702965227,603299657
606125990,3702965230,603299660
606125989,3702965229,603299659
606125991,3702965231,603299661
606125992,3702965232,603299662
606125994,3702965234,603299664
606125995,3702965235,603299665
606125993,3702965233,603299663
606125996,3702965236,603299666
606125998,3702965238,603299668
606125997,3702965237,603299667
606125999,3702965239,603299669
606126000,3702965240,603299670
606126001,3702965241,603299671
606126003,3702965243,603299673
606126005,3702965245,603299675
606126004,3702965244,603299674
606126006,3702965246,603299676
606126008,3702965248,603299678
606126007,3702965247,603299677
606126009,3702965249,603299679
606126002,3702965242,603299672
606126010,3702965250,603299680
606126011,3702965251,603299681
606126012,3702965252,603299682
606126013,3702965253,603299683
606126014,3702965254,603299684
606126017,3702965257,603299687
606126018,3702965258,603299688
606126016,3702965256,603299686
606126015,3702965255,603299685
606126019,3702965259,603299689
606126025,3702965265,603299695
606126020,3702965260,603299690
606126026,3702965266,603299696
606126024,3702965264,603299694
606126021,3702965261,603299691
606126022,3702965262,603299692
606126023,3702965263,603299693
606126027,3702965267,603299697
606126028,3702965268,603299698
606126029,3702965269,603299699
606126030,3702965270,603299700
606126034,3702965274,603299704
606126031,3702965271,603299701
606126033,3702965273,603299703
606126032,3702965272,603299702
606126035,3702965275,603299705
606126036,3702965276,603299706
606126037,3702965277,603299707
606126048,3702965288,603299718
606126038,3702965278,603299708
606126040,3702965280,603299710
606126039,3702965279,603299709
606126041,3702965281,603299711
606126042,3702965282,603299712
606126043,3702965283,603299713
606126044,3702965284,603299714
606126046,3702965286,603299716
606126045,3702965285,603299715
606126047,3702965287,603299717
606126050,3702965290,603299720
606126051,3702965291,603299721
606126049,3702965289,603299719
606126053,3702965293,603299723
606126056,3702965296,603299726
606126052,3702965292,603299722
606126057,3702965297,603299727
606126054,3702965294,603299724
606126055,3702965295,603299725
606126058,3702965298,603299728
606126059,3702965299,603299729
606126062,3702965302,603299732
606126066,3702965306,603299736
606126060,3702965300,603299730
606126065,3702965305,603299735
606126063,3702965303,603299733
606126064,3702965304,603299734
606126061,3702965301,603299731
606126067,3702965307,603299737
606126069,3702965309,603299739
606126068,3702965308,603299738
606126071,3702965311,603299741
606126070,3702965310,603299740
606126073,3702965313,603299743
606126072,3702965312,603299742
606126074,3702965314,603299744
606126076,3702965316,603299746
606126075,3702965315,603299745
606126078,3702965318,603299748
606126079,3702965319,603299749
606126080,3702965320,603299750
606126077,3702965317,603299747
606126081,3702965321,603299751
606126083,3702965323,603299753
606126082,3702965322,603299752
606126084,3702965324,603299754
606126085,3702965325,603299755
606126087,3702965327,603299757
606126086,3702965326,603299756
606126090,3702965330,603299760
606126088,3702965328,603299758
606126089,3702965329,603299759
606126093,3702965333,603299763
606126092,3702965332,603299762
606126096,3702965336,603299766
606126094,3702965334,603299764
606126095,3702965335,603299765
606126097,3702965337,603299767
606126098,3702965338,603299768
606126104,3702965344,603299774
606126103,3702965343,603299773
606126091,3702965331,603299761
606126101,3702965341,603299771
606126105,3702965345,603299775
606126099,3702965339,603299769
606126100,3702965340,603299770
606126102,3702965342,603299772
606126107,3702965347,603299778
606126108,3702965348,603299777
606126109,3702965349,603299779
606126111,3702965351,603299781
606126110,3702965350,603299780
606126112,3702965352,603299782
606126115,3702965355,603299785
606126113,3702965353,603299783
606126114,3702965354,603299784
606126117,3702965357,603299787
606126119,3702965359,603299789
606126116,3702965356,603299786
606126118,3702965358,603299788
606126120,3702965360,603299790
606126121,3702965361,603299791
606126122,3702965362,603299792
606126123,3702965363,603299793
606126126,3702965366,603299796
606126125,3702965365,603299795
606126128,3702965368,603299798
606126129,3702965369,603299799
606126130,3702965370,603299800
606126139,3702965379,603299809
606126132,3702965372,603299802
606126131,3702965371,603299801
606126133,3702965373,603299803
606126134,3702965374,603299804
606126124,3702965364,603299794
606126127,3702965367,603299797
606126135,3702965375,603299805
606126136,3702965376,603299806
606126140,3702965380,603299810
606126141,3702965381,603299811
606126142,3702965382,603299812
606126137,3702965377,603299807
606126144,3702965384,603299814
606126143,3702965383,603299813
606126138,3702965378,603299808
606126145,3702965385,603299815
606126146,3702965386,603299816
606126149,3702965389,603299819
606126147,3702965387,603299817
606126150,3702965390,603299820
606126148,3702965388,603299818
606126152,3702965392,603299822
606126153,3702965393,603299823
606126151,3702965391,603299821
606126156,3702965396,603299826
606126157,3702965397,603299827
606126155,3702965395,603299825
606126154,3702965394,603299824
606126158,3702965398,603299828
606126159,3702965399,603299829
606126161,3702965401,603299831
606126172,3702965412,603299842
606126163,3702965403,603299833
606126162,3702965402,603299832
606126173,3702965413,603299843
606126164,3702965404,603299834
606126165,3702965405,603299835
606126166,3702965406,603299836
606126167,3702965407,603299837
606126169,3702965409,603299839
606126171,3702965411,603299841
606126170,3702965410,603299840
606126168,3702965408,603299838
606126174,3702965414,603299844
606126175,3702965415,603299845
606126177,3702965417,603299847
606126176,3702965416,603299846
606126182,3702965422,603299852
606126179,3702965419,603299849
606126178,3702965418,603299848
606126180,3702965420,603299850
606126181,3702965421,603299851
606126183,3702965423,603299853
606126220,3702965460,603299890
606126184,3702965424,603299854
606126185,3702965425,603299855
606126186,3702965426,603299856
606126188,3702965428,603299858
606126187,3702965427,603299857
606126189,3702965429,603299859
606126190,3702965430,603299860
606126191,3702965431,603299861
606126193,3702965433,603299863
606126194,3702965434,603299864
606126192,3702965432,603299862
606126195,3702965435,603299865
606126196,3702965436,603299866
606126198,3702965438,603299868
606126197,3702965437,603299867
606126199,3702965439,603299869
606126201,3702965441,603299871
606126200,3702965440,603299870
606126203,3702965443,603299873
606126202,3702965442,603299872
606126204,3702965444,603299874
606126205,3702965445,603299875
606126206,3702965446,603299876
606126209,3702965449,603299879
606126207,3702965447,603299877
606126208,3702965448,603299878
606126210,3702965450,603299880
606126211,3702965451,603299881
606126212,3702965452,603299882
606126214,3702965454,603299884
606126215,3702965455,603299885
606126216,3702965456,603299886
606126213,3702965453,603299883
606126217,3702965457,603299887
606126219,3702965459,603299889
606126223,3702965463,603299893
606126221,3702965461,603299891
606126218,3702965458,603299888
606126226,3702965466,603299896
606126224,3702965464,603299894
606126227,3702965467,603299897
606126225,3702965465,603299895
606126228,3702965468,603299898
606126229,3702965469,603299899
606126230,3702965470,603299900
606126231,3702965471,603299901
606126232,3702965472,603299902
606126234,3702965474,603299904
606126233,3702965473,603299903
606126235,3702965475,603299905
606126237,3702965477,603299907
606126270,3702965510,603299940
606126236,3702965476,603299906
606126239,3702965479,603299909
606126240,3702965480,603299910
606126238,3702965478,603299908
606126241,3702965481,603299911
606126242,3702965482,603299912
606126243,3702965483,603299913
606126245,3702965485,603299915
606126244,3702965484,603299914
606126247,3702965487,603299917
606126246,3702965486,603299916
606126249,3702965489,603299919
606126248,3702965488,603299918
606126250,3702965490,603299920
606126252,3702965492,603299922
606126251,3702965491,603299921
606126256,3702965496,603299926
606126255,3702965495,603299925
606126253,3702965493,603299923
606126254,3702965494,603299924
606126257,3702965497,603299927
606126260,3702965500,603299930
606126259,3702965499,603299929
606126258,3702965498,603299928
606126264,3702965504,603299934
606126262,3702965502,603299932
606126261,3702965501,603299931
606126263,3702965503,603299933
606126267,3702965507,603299937
606126265,3702965505,603299935
606126266,3702965506,603299936
606126272,3702965512,603299942
606126271,3702965511,603299941
606126268,3702965508,603299938
606126269,3702965509,603299939
606126273,3702965513,603299943
606126275,3702965515,603299945
606126274,3702965514,603299944
606126276,3702965516,603299946
606126278,3702965518,603299949
606126279,3702965519,603299948
606126277,3702965517,603299947
606126280,3702965520,603299950
606126281,3702965521,603299951
606126282,3702965522,603299952
606126285,3702965525,603299955
606126284,3702965524,603299954
606126286,3702965526,603299956
606126283,3702965523,603299953
606126287,3702965527,603299957
606126288,3702965528,603299958
606126289,3702965529,603299959
606126291,3702965531,603299961
606126290,3702965530,603299960
606126295,3702965535,603299965
606126292,3702965532,603299962
606126294,3702965534,603299964
606126293,3702965533,603299963
606126296,3702965536,603299966
606126297,3702965537,603299967
606126336,3702965576,603300006
606126298,3702965538,603299968
606126299,3702965539,603299969
606126300,3702965540,603299970
606126301,3702965541,603299971
606126302,3702965542,603299972
606126303,3702965543,603299973
606126304,3702965544,603299974
606126305,3702965545,603299975
606126306,3702965546,603299976
606126307,3702965547,603299977
606126310,3702965550,603299980
606126308,3702965548,603299978
606126311,3702965551,603299981
606126313,3702965553,603299983
606126312,3702965552,603299982
606126314,3702965554,603299984
606126317,3702965557,603299987
606126316,3702965556,603299986
606126315,3702965555,603299985
606126319,3702965559,603299989
606126318,3702965558,603299988
606126320,3702965560,603299990
606126324,3702965564,603299994
606126322,3702965562,603299992
606126321,3702965561,603299991
606126323,3702965563,603299993
606126325,3702965565,603299995
606126326,3702965566,603299996
606126327,3702965567,603299997
606126328,3702965568,603299998
606126329,3702965569,603299999
606126332,3702965572,603300002
606126331,3702965571,603300001
606126330,3702965570,603300000
606126335,3702965575,603300005
606126338,3702965578,603300008
606126333,3702965573,603300003
606126337,3702965577,603300007
606126339,3702965579,603300009
606126340,3702965580,603300010
606126343,3702965583,603300013
606126341,3702965581,603300011
606126342,3702965582,603300012
606126344,3702965584,603300014
606126346,3702965586,603300016
606126345,3702965585,603300015
606126347,3702965587,603300017
606126348,3702965588,603300018
606126349,3702965589,603300019
606126350,3702965590,603300020
606126351,3702965591,603300021
606126352,3702965592,603300022
606126353,3702965593,603300023
606126354,3702965594,603300024
606126355,3702965595,603300025
606126357,3702965597,603300027
606126358,3702965598,603300028
606126359,3702965599,603300029
606126360,3702965600,603300030
606126361,3702965601,603300031
606126362,3702965602,603300032
606126363,3702965603,603300033
606126365,3702965605,603300035
606126364,3702965604,603300034
606126356,3702965596,603300026
606126366,3702965606,603300036
606126367,3702965607,603300037
606126371,3702965611,603300041
606126368,3702965608,603300038
606126370,3702965610,603300040
606126369,3702965609,603300039
606126374,3702965614,603300044
606126372,3702965612,603300042
606126373,3702965613,603300043
606126377,3702965617,603300047
606126375,3702965615,603300045
606126379,3702965619,603300049
606126378,3702965618,603300048
606126380,3702965620,603300050
606126376,3702965616,603300046
606126381,3702965621,603300051
606126382,3702965622,603300052
606126383,3702965623,603300053
606126384,3702965624,603300054
606126385,3702965625,603300055
606126418,3702965658,603300088
606126386,3702965626,603300056
606126387,3702965627,603300057
606126388,3702965628,603300058
606126389,3702965629,603300059
606126390,3702965630,603300060
606126402,3702965642,603300072
606126391,3702965631,603300061
606126392,3702965632,603300062
606126393,3702965633,603300063
606126394,3702965634,603300064
606126395,3702965635,603300065
606126397,3702965637,603300067
606126400,3702965640,603300070
606126396,3702965636,603300066
606126398,3702965638,603300068
606126401,3702965641,603300071
606126399,3702965639,603300069
606126403,3702965643,603300073
606126404,3702965644,603300074
606126406,3702965646,603300076
606126407,3702965647,603300077
606126409,3702965649,603300079
606126405,3702965645,603300075
606126410,3702965650,603300080
606126408,3702965648,603300078
606126442,3702965682,603300112
606126413,3702965653,603300083
606126411,3702965651,603300081
606126417,3702965657,603300087
606126412,3702965652,603300082
606126416,3702965656,603300086
606126414,3702965654,603300084
606126415,3702965655,603300085
606126419,3702965659,603300089
606126420,3702965660,603300090
606126421,3702965661,603300091
606126423,3702965663,603300093
606126422,3702965662,603300092
606126424,3702965664,603300094
606126425,3702965665,603300095
606126426,3702965666,603300096
606126428,3702965668,603300098
606126427,3702965667,603300097
606126429,3702965669,603300099
606126431,3702965671,603300101
606126432,3702965672,603300102
606126430,3702965670,603300100
606126433,3702965673,603300103
606126434,3702965674,603300104
606126435,3702965675,603300105
606126439,3702965679,603300109
606126436,3702965676,603300106
606126438,3702965678,603300108
606126441,3702965681,603300111
606126437,3702965677,603300107
606126440,3702965680,603300110
606126443,3702965683,603300113
606126444,3702965684,603300114
606126445,3702965685,603300115
606126446,3702965686,603300116
606126447,3702965687,603300117
606126450,3702965690,603300120
606126449,3702965689,603300119
606126451,3702965691,603300121
606126453,3702965693,603300123
606126454,3702965694,603300124
606126456,3702965696,603300126
606126455,3702965695,603300125
606126458,3702965698,603300128
606126457,3702965697,603300127
606126448,3702965688,603300118
606126452,3702965692,603300122
606126459,3702965699,603300129
606126461,3702965701,603300131
606126464,3702965704,603300134
606126463,3702965703,603300133
606126462,3702965702,603300132
606126465,3702965705,603300135
